Start Date,07/01/2019,,,,,,,,,,,,,,,,
End Date,05/01/2026,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,SHEL LN Equity,BP/ LN Equity,BARC LN Equity,HSBA LN Equity,ULVR LN Equity,TSCO LN Equity,AZN LN Equity,GSK LN Equity,NG/ LN Equity,DGE LN Equity,IGLS LN Equity,VGOV LN Equity,SLXX LN Equity,SGLN LN Equity,UKX Index,GUKG10 Index,VUKE LN Equity
,#NAME?,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...
Dates,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST
22/05/2020,1292.6,310,103.14,379,4412.447,287.913,8996,1682.474,817.112,2834,134.84,26.605,152.11,2782,5993.28,0.174,26.445
29/05/2020,1259.2,305.75,115.24,370.1,4645.132,289.18,8580,1691.174,859.239,2790.5,134.81,26.63625,153.82,2746,6076.6,0.184,26.775
05/06/2020,1477.2,362.25,131.4,422.95,4727.698,288.42,8427,1656.578,852.373,2900,134.58,25.87,155.08,2580,6484.3,0.354,28.635
12/06/2020,1350.4,323.05,117.06,380.35,4615.108,286.52,8201,1617.733,850.146,2780,134.82,26.5175,153.79,2702,6105.18,0.208,26.76
19/06/2020,1375.8,321.45,116.56,391.4,4966.817,288.04,8489,1676.203,903.222,2900,134.8,26.145,154.025,2754.5,6292.6,0.238,27.605
26/06/2020,1319.8,304.6,110.98,380.25,4845.649,292.22,8456,1666.087,896.726,2700,134.91,26.44625,154.64,2797,6159.3,0.172,27.07
03/07/2020,1299,307.55,115.72,383.5,4630.12,280.567,8459,1644.641,855.713,2690,134.94,26.35125,155.095,2785,6157.3,0.188,27.0275
10/07/2020,1246.4,290.8,117.76,377.8,4496.085,272.08,8505,1593.252,808.204,2761.5,135.045,26.48875,156.26,2780,6095.41,0.155,26.89
17/07/2020,1303.2,309.3,116.4,379.55,4692.313,271.827,9187,1679.44,827.319,2816,134.74,26.2925,156.45,2822.5,6290.3,0.163,27.75
24/07/2020,1242.6,298.1,113.6,364.85,5016.142,279.553,8652,1598.513,837.897,2796,134.74,26.3475,157.08,2905,6123.82,0.144,27.045
31/07/2020,1121.6,275.15,100.56,342.2,4903.552,274.993,8530,1547.528,835.485,2801,134.86,26.49,157.85,2937.5,5897.76,0.104,26.075
07/08/2020,1154.6,287.25,104.6,325.55,4867.095,283.353,8470,1573.223,838.825,2567,134.62,26.27875,157.62,3045,6032.18,0.139,26.63
14/08/2020,1171.4,292.65,109.2,341.3,4869.239,288.8,8381,1553.598,827.505,2603,134.51,25.84625,156.255,2901,6090.04,0.243,27.02
21/08/2020,1115.8,273.35,108,328.15,4834.926,288.167,8437,1532.759,813.401,2590,134.62,25.89125,156.62,2900.5,6001.89,0.206,26.69
28/08/2020,1106.8,264.2,111.96,330.15,4782.384,277.02,8340,1489.059,782.409,2509.5,134.565,25.535,155.95,2882.5,5963.57,0.311,26.5125
04/09/2020,1078.2,257.5,106.88,319.75,4745.927,273.347,7970,1451.832,773.315,2496.5,134.64,25.8,156.66,2844,5799.08,0.263,25.81
11/09/2020,1083.4,262.05,102.62,322.9,5181.274,279.68,8429,1541.459,792.616,2632,134.89,26.075,157.3,2981,6032.09,0.182,26.825
18/09/2020,1034.6,245.75,97.42,304,5082.624,278.16,8746,1543.28,787.048,2568.5,134.82,26.0725,156.735,2947.5,6007.05,0.183,26.7875
25/09/2020,1004.8,233.3,91.55,283.35,5107.286,273.6,8576,1491.486,792.987,2521.5,134.735,26.09125,155.55,2868,5842.67,0.189,25.745
02/10/2020,933.1,214.4,97.71,308.2,5191.997,266,8431,1461.341,859.796,2683,134.59,25.785,155.37,2881,5902.12,0.246,26.03
09/10/2020,1016.4,222.1,107.28,309.4,5197.358,278.16,8424,1463.971,867.59,2699,134.555,25.7075,155.55,2894.5,6016.65,0.28,26.5325
16/10/2020,973.8,209.4,101.8,306.35,5217.731,271.447,8217,1426.34,876.127,2654.5,134.68,26.10875,156.825,2873,5919.58,0.182,26.145
23/10/2020,971.8,205.5,111.54,321.4,5033.299,271.193,7943,1359.373,876.869,2628.5,134.53,25.65875,156.53,2844,5860.28,0.28,25.85
30/10/2020,965.4,196.6,106.56,324.55,4722.336,260.3,7766,1306.77,852.744,2499,134.525,25.73375,155.52,2836,5577.27,0.262,24.65
06/11/2020,1008,199.86,110.94,337.8,5027.937,275.88,8473,1415.213,867.59,2642,134.525,25.66,156.7,2896.5,5910.02,0.274,26.0925
13/11/2020,1165.8,236.9,134.16,372.7,5092.274,284.62,8633,1453.653,884.849,2904,134.46,25.4275,156.45,2806.5,6316.39,0.338,27.93
20/11/2020,1244.8,244.4,137.76,380.9,4778.095,294.753,8317,1409.75,862.951,2952,134.48,25.535,158.07,2752,6351.45,0.302,28.09
27/11/2020,1339.4,262.9,139.5,404.85,4917.492,288.547,7770,1399.634,810.803,2933,134.44,25.68375,159.05,2617.5,6367.58,0.284,28.245
04/12/2020,1402.4,276.95,148.62,422.65,4638.698,286.9,7958,1402.062,791.502,2932.5,134.4,25.41375,158.615,2658,6550.23,0.351,29.0075
11/12/2020,1394.8,275.25,136.06,400.6,4739.493,283.48,8160,1429.577,811.73,3008.5,134.75,26.1775,160.4,2725.5,6546.75,0.172,28.985
18/12/2020,1381.2,271.35,145,387.75,4662.289,287.027,7508,1372.119,805.05,2949,134.59,25.84125,160.15,2728,6529.18,0.249,28.7975
25/12/2020,1327.6,263,154.6,386,4621.542,295.007,7223,1348.043,795.399,2914,134.6,25.775,160.01,2694.5,6502.11,0.257,28.755
01/01/2021,1297.8,254.8,146.68,378.85,4709.469,293.107,7324,1357.552,802.637,2878,134.76,26.02,160.865,2708,6460.52,0.197,28.55
08/01/2021,1468.2,298.7,152.92,411.75,4771.662,311.22,7471,1424.722,816.556,3038,134.68,25.62375,159.31,2674.5,6873.26,0.288,30.3225
15/01/2021,1483,302.45,148.8,403.25,4711.614,306.027,7592,1429.982,812.287,2903,134.42,25.645,159.55,2626.5,6735.71,0.288,29.7125
22/01/2021,1420,290,143.06,407.35,4694.457,306.407,7777,1396.195,812.658,2908.5,134.375,25.53,159.06,2650,6695.07,0.308,29.5125
29/01/2021,1338,271.5,133.54,382.75,4546.482,303.24,7491,1372.726,788.718,2949,134.36,25.53,158.24,2645,6407.46,0.327,28.28
05/02/2021,1345.8,252.05,147.22,392.5,4267.688,312.107,7275,1280.469,790.017,3002.5,133.96,24.9225,156.61,2575,6489.33,0.482,28.675
